Study_site,Plot,Canopy,Cover,Sampled_distance_or_area,Sampling_method,Method_cover
Agadir,1_1,Argania_spinosa,24.0034913,247.7243589,pCO,plot
Agadir,1_1,Genista_sp1,1.114096796,247.7243589,pCO,plot
Agadir,1_1,Olea_europaea,13.19859124,247.7243589,pCO,plot
Agadir,1_1,Open,49.9991202,247.7243589,pCO,plot
Agadir,1_1,Tetraclinis_articulata,11.55312671,247.7243589,pCO,plot
Agadir,1_1,Thymus_sp1,0.131573754,247.7243589,pCO,plot
Agadir,1_2,Argania_spinosa,33.95823031,346.9253946,pCO,plot
Agadir,1_2,Genista_sp1,0.689352076,346.9253946,pCO,plot
Agadir,1_2,Olea_europaea,6.173606273,346.9253946,pCO,plot
Agadir,1_2,Open,49.99922252,346.9253946,pCO,plot
Agadir,1_2,Tetraclinis_articulata,9.179588819,346.9253946,pCO,plot
Agadir,1_3,Argania_spinosa,38.67905608,473.6464489,pCO,plot
Agadir,1_3,Genista_sp1,1.550213322,473.6464489,pCO,plot
Agadir,1_3,Olea_europaea,3.200316309,473.6464489,pCO,plot
Agadir,1_3,Open,49.99931923,473.6464489,pCO,plot
Agadir,1_3,Rhus_tripartita,1.95832827,473.6464489,pCO,plot
Agadir,1_3,Tetraclinis_articulata,4.248295537,473.6464489,pCO,plot
Agadir,1_3,Thymus_sp1,0.364471256,473.6464489,pCO,plot
Agadir,1_4,Argania_spinosa,12.47145801,157.4391227,pCO,plot
Agadir,1_4,Genista_sp1,8.011664624,157.4391227,pCO,plot
Agadir,1_4,Olea_europaea,12.00667172,157.4391227,pCO,plot
Agadir,1_4,Open,50.0002786,157.4391227,pCO,plot
Agadir,1_4,Pistacia_lentiscus,7.435483269,157.4391227,pCO,plot
Agadir,1_4,Tetraclinis_articulata,9.193958845,157.4391227,pCO,plot
Agadir,1_4,Thymus_sp1,0.880484935,157.4391227,pCO,plot
Agadir,1_5,Argania_spinosa,31.65372174,341.5149855,pCO,plot
Agadir,1_5,Genista_sp1,0.963594116,341.5149855,pCO,plot
Agadir,1_5,Olea_europaea,12.28800974,341.5149855,pCO,plot
Agadir,1_5,Open,50.00073416,341.5149855,pCO,plot
Agadir,1_5,Tetraclinis_articulata,4.640890038,341.5149855,pCO,plot
Agadir,1_5,Thymus_sp1,0.453050217,341.5149855,pCO,plot
Agadir,2_1,Argania_spinosa,25.67167402,295.3234941,pCO,plot
Agadir,2_1,Genista_sp1,1.752577767,295.3234941,pCO,plot
Agadir,2_1,Olea_europaea,3.805673421,295.3234941,pCO,plot
Agadir,2_1,Open,49.99940843,295.3234941,pCO,plot
Agadir,2_1,Rhus_tripartita,8.960485992,295.3234941,pCO,plot
Agadir,2_1,Tetraclinis_articulata,9.810180371,295.3234941,pCO,plot
Agadir,2_2,Argania_spinosa,22.68658279,465.4591838,pCO,plot
Agadir,2_2,Genista_sp1,0.219357067,465.4591838,pCO,plot
